Fold,Euclidean Original - Protected,Euclidean Original - Reconstructed,Hausdorff Original - Protected,Hausdorff Original - Reconstructed,Jaccard Original - Protected,Jaccard Original - Reconstructed
1,41798.29400861753,2684.5394479262363,77461.00778225476,3289.1165339276504,8.291241626340394e-07,0.0
1,31592.77426666615,2885.6114640164697,45258.394663113184,3109.066638949622,0.0,0.0
1,20069.903476146348,3737.487164454081,42196.49837390352,4253.360723588563,4.745764075111634e-07,0.0
1,37655.15345321157,1796.28377053303,65718.52934082494,2342.4410134431196,2.252447677818482e-06,0.0
1,55168.25368376817,11706.0391853332,99261.16974087531,12219.54438166234,0.0,0.0
1,24867.59170506232,6482.593616543161,58454.79308943132,7375.526780524032,4.013484705494517e-07,0.0
1,19898.360238543075,908.254680577903,41731.116629968594,1317.5275063745096,2.219788568443563e-06,0.0
1,15746.179438316854,3665.5476520963757,36988.38038129159,4311.058928958813,1.4181669059388894e-07,0.0
1,25012.566457542125,1682.6875879947988,41844.549684179874,2099.7858003532947,0.0,0.0
1,20362.550884119064,1399.6789647039732,45131.667763529345,1603.3823908285237,0.0,0.0
1,53274.169919987755,2864.076237951937,99696.75926368778,3239.67718563036,3.764506648794056e-05,0.0
1,9108.375272998732,4746.433409379051,18237.35686687622,5309.789953086098,0.0,0.0
1,35191.10202022154,5163.507535521162,69792.66937993513,5751.459278637943,6.302579118866436e-06,0.0
1,37159.80711620364,1571.9858120003657,100144.7214475385,1761.376279825257,2.00486005116954e-05,0.0
1,10949.383039900566,1373.659769485091,31409.93322800212,1718.0664324087109,0.0,0.0
1,29987.93345528474,2249.7659432821906,71001.04320905333,2227.7018113672143,2.544088763385039e-05,0.0
1,18205.199691749356,2545.3058461140376,40181.556376935136,2748.352149085802,1.9263321272836115e-06,0.0
1,45691.624501015845,1559.2713263267703,84162.3781249512,1738.048580103232,0.0,0.0
1,27199.856569560256,3236.8391281310182,48740.69270262154,3906.181705172165,2.1527769492106076e-06,0.0
1,51069.79477092479,1746.2391567969023,91124.60682937356,1850.3460197124623,2.2940943380675174e-05,0.0
1,33430.44266338194,2573.747403228174,60986.31629447113,2947.0093300238177,0.0,0.0
1,23086.74884203893,4446.6286502680105,40578.93094177765,4701.50560190335,0.0,0.0
1,34923.77454332637,2758.278102011345,73156.40081372492,3728.782651551302,1.446590633998159e-06,0.0
1,16087.973361244996,3910.2019565514283,29058.327848752764,4354.906432898171,0.0,0.0
1,40452.78935464319,3631.410743180319,89560.79277396509,4201.298325805423,1.7156804825040753e-06,0.0
1,18529.163564882165,2153.4966125882074,50341.877089279114,4155.187832984208,2.612075291721278e-05,0.0
1,12618.645810031307,1532.2129294048075,19093.765290137442,1734.782083963014,0.0,0.0
1,36051.16971667792,2443.579999452451,61847.10271318586,3103.897474328592,0.0,0.0
1,38020.05026136168,5123.422824603861,83253.79420436238,5699.056059751209,1.66314599097359e-05,0.0
1,49159.831487289266,2864.5276785461747,86934.06342057133,3467.8160482646767,0.0,0.0
1,29942.497682159457,3834.1470934669956,47188.193267863935,4048.207488260925,0.0,0.0
1,23446.769336489022,3528.3793030974207,39713.08640927722,3738.19699964442,6.6192584574312175e-06,0.0
1,51789.61035410425,2588.278020798253,96886.07005583115,4480.561664790461,2.439157945301668e-05,0.0
1,44594.06556103192,1978.559335564761,87455.21569115017,2652.6850713959852,4.834012259841973e-06,0.0
1,22101.699967717806,1076.8791267271758,51039.983667492175,1703.9041007927856,2.6785829326631162e-06,0.0
1,46819.61514322544,3309.3607031565853,113212.67544443005,5763.226664774878,4.111896023680046e-05,0.0
1,50751.95529628864,3204.4148331758083,94634.08871071818,3601.5436836285066,1.281702180012695e-07,0.0
1,21609.327508918694,3440.475286565863,59520.22914575785,4180.95760746633,4.1005422124634365e-06,0.0
1,52325.12790588422,3087.249288148829,102638.35810975473,5949.900665248916,8.778525889640979e-08,0.0
1,25989.625500004826,1699.1593078541036,55722.1226771474,2506.6979130238883,0.0,0.0
1,21801.767512447615,2172.246684096029,40714.38921592846,2590.394557427124,0.0,0.0
1,80704.46397661773,3749.5769186462203,154556.92714151993,5532.284562075059,7.072419777686687e-08,0.0
1,52539.26643448216,6118.4126123788365,93892.42246630733,7464.272049290478,8.455486400793518e-07,0.0
1,19196.84445431703,24159.851677039467,33890.814274355245,24251.293275853892,0.0,0.0
1,64130.28805397781,2711.729004795285,119783.699288251,3007.263023734571,8.70346045717586e-07,0.0
1,59730.655579469574,5066.068860576062,131899.02275405548,7977.84741361906,1.4709917075456762e-07,6.0638253391548166e-05
1,52441.006052737255,22717.87948403041,74891.5732468422,23472.990024217714,3.057692467907376e-07,0.0
1,35403.36298402032,2005.8239359735906,79076.30105525929,3041.0070492878053,1.65637886809796e-05,0.0
1,63035.89148898054,1624.483555267529,108559.22164259663,2202.824782044893,0.0,0.0
1,23156.700058140268,1249.6685485813914,49030.37373633057,1417.0512873875834,1.552761506888673e-06,0.0
1,28079.41954308732,2895.671160151716,63570.37641512657,3643.6271256020505,1.7017485436049775e-07,0.0
1,70011.6396235792,3033.068432674475,118579.70915729977,4038.716279735965,2.624222503020501e-07,0.0
1,47641.598325413186,3471.337239547546,82996.52370453073,3751.7619159712535,0.0,0.0
1,35980.94480608374,1797.6772777759397,86110.72870631046,1768.9343178361157,4.490694633622487e-05,0.0
1,22298.780455369757,1985.4458982648714,35874.773524794204,2474.7595061170455,0.0,0.0
